city,name,cuisine,avg_cost_for_two_inr,rating,must_try,type,description
Udaipur,Natraj Dining Hall,Rajasthani Thali,300,4.3,Unlimited Rajasthani Thali,Restaurant,No-frills restaurant famous for unlimited Rajasthani thali at pocket-friendly prices.
Udaipur,Savage Garden,Continental/Cafe,800,4.4,Wood-fired Pizza,Cafe,"Rooftop cafe with panoramic lake views serving pizzas, pastas, and cocktails."
Udaipur,Millets of Mewar,Healthy/Rajasthani,500,4.2,Bajra Roti Thali,Restaurant,Health-focused restaurant serving traditional Rajasthani millet-based dishes.
Rishikesh,Chotiwala Restaurant,North Indian/Vegetarian,400,4.2,Special Thali,Restaurant,Iconic vegetarian restaurant near Ram Jhula since 1958 with the famous mascot at the entrance.
Rishikesh,Little Buddha Cafe,Continental/Israeli,600,4.4,Shakshuka & Falafel,Cafe,"Multi-level riverside cafe with Ganges views, serving Israeli and continental food."
Rishikesh,Beatles Cafe,Cafe/Bakery,400,4.3,Banana Pancakes,Cafe,"Beatles-themed cafe near the ashram with live music, fresh juices, and baked goods."
Rishikesh,Ramana's Organic Cafe,Organic/Healthy,500,4.5,Organic Buddha Bowl,Cafe,"Organic cafe in Tapovan serving healthy bowls, smoothies, and ayurvedic teas."
Agra,Peshawri (ITC Mughal),North Indian/Mughlai,3000,4.7,Dal Bukhara & Sikandari Raan,Fine Dining,Award-winning restaurant in ITC Mughal hotel serving frontier cuisine with tandoor specialties.
Agra,Mama Chicken,Mughlai/Street Food,300,4.3,Chicken Shawarma,Street Food,Popular street food joint near Sadar Bazaar famous for chicken shawarma and rolls.
Agra,Pinch of Spice,North Indian/Mughlai,800,4.4,Paneer Lababdar,Restaurant,Popular multi-cuisine restaurant on Fatehabad Road with excellent North Indian and Mughlai food.
Agra,Panchhi Petha Store,Sweets/Snacks,200,4.5,Agra Petha (Angoori),Sweet Shop,Famous petha shop since 1950 selling Agra's signature sweet in 50+ varieties.
